frame,track_id,x_center,y_center
2,1,469.266,872.5613
3,1,477.54193,852.914
4,1,484.9427,844.81775
5,1,487.558,834.7593
6,1,492.6579,830.3189
7,1,494.27075,828.05695
8,1,494.39166,833.0426
9,1,494.64886,849.6365
10,1,494.4099,848.76636
11,1,492.46606,855.66473
12,1,491.68896,861.37854
13,1,490.13794,853.1591
14,1,485.8208,851.08923
15,1,481.95963,847.60626
16,1,478.3089,842.7902
17,1,474.1911,840.6135
18,1,468.55527,840.4901
19,1,462.73346,837.6783
20,1,455.8139,834.40466
21,1,453.78088,838.6162
22,1,453.03986,843.51587
23,1,451.67264,847.2382
24,1,451.3033,846.4951
25,1,450.87366,842.91486
26,1,449.84186,841.42236
27,1,449.21243,847.6772
28,1,447.49072,842.5532
29,1,444.6794,837.02435
30,1,442.87485,834.1654
31,1,438.7032,838.38257
32,1,435.42487,845.6705
33,1,429.39203,852.46533
34,1,419.39337,854.0014
35,1,407.8502,861.02435
36,1,398.72482,869.80994
37,1,388.52945,859.86365
38,1,376.2981,878.7487
39,1,364.70325,873.12036
40,1,351.07715,861.8999
41,1,341.73892,880.0333
42,1,328.47433,882.1616
43,1,319.06564,883.0775
44,1,309.1345,879.3322
45,1,305.5628,875.5556
46,1,305.61328,866.2307
47,1,307.11795,870.0143
48,1,304.2073,879.54144
49,1,300.43414,882.2443
50,1,294.47855,878.5502
51,1,290.2617,883.3328
52,1,285.65546,892.3256
53,1,282.38177,900.30286
54,1,280.75427,911.11847
55,1,282.70297,915.04333
56,1,285.8607,918.218
57,1,280.472,918.6909
58,1,275.56,921.8979
59,1,274.5347,908.58673
60,1,271.2644,892.99207
61,1,268.08563,884.6078
62,1,267.9911,876.88043
63,1,268.55484,889.85297
64,1,268.77377,890.0363
65,1,272.0349,872.5193
66,1,278.3567,881.0123
67,1,286.354,887.568
68,1,294.9706,877.60944
69,1,302.90192,870.0886
70,1,309.26538,865.8761
71,1,318.05908,864.2137
72,1,327.78632,842.102
73,1,332.33722,838.23126
74,1,338.97153,828.3829
75,1,345.21417,838.8671
76,1,350.02448,830.5803
77,1,357.79742,825.2038
78,1,366.98764,826.17725
78,3,32.868904,1163.1357
79,1,378.90512,811.755
79,3,38.80258,1133.9282
80,1,390.54456,811.8327
81,1,401.28748,807.1089
82,1,414.57428,803.98047
82,3,56.897602,1052.7793
83,1,422.75577,798.1166
83,3,65.80196,1042.4093
84,1,435.64044,803.8705
84,3,71.86388,1040.1038
85,1,448.06815,791.6405
85,3,77.835785,1026.3828
86,1,460.78708,781.22205
86,3,86.99835,1014.708
87,1,479.8676,775.0137
87,3,97.66253,998.17444
88,1,505.50232,763.9077
88,3,108.26778,987.0146
89,1,527.1931,741.3206
89,3,117.60129,973.5652
90,1,549.80145,746.9464
90,3,125.958786,986.98987
91,1,561.20465,744.2215
91,3,132.88791,970.51715
92,1,569.45483,741.4046
92,3,137.45688,966.6195
93,1,578.4763,737.8622
93,3,145.50482,970.1783
94,1,588.31537,734.6075
94,3,161.54218,939.13885
95,1,593.3945,724.4901
95,3,176.74496,943.6698
96,1,598.0387,729.037
96,3,197.61067,940.7467
97,1,601.5531,731.85345
97,3,204.24487,938.3834
98,1,603.8788,727.3231
98,3,218.01782,930.8187
99,1,607.34705,725.4335
99,3,232.38641,939.54504
100,1,605.1843,734.41943
100,3,234.01028,942.42474
101,1,603.0725,739.18286
101,3,238.79703,940.29004
102,1,601.0604,750.14954
102,3,241.87784,947.203
103,1,599.4438,771.93976
103,3,238.97076,960.39
104,1,588.6993,799.10486
104,3,226.01407,977.0005
105,1,584.76514,822.5938
105,3,221.07419,1015.1301
106,1,580.73676,840.4977
106,3,218.74898,1018.89844
107,1,571.61224,849.44446
107,3,205.95949,1000.8059
108,1,566.27344,854.5784
108,3,197.19733,1002.70386
109,1,560.65283,857.24744
109,3,198.29729,1006.2162
110,1,554.68604,859.64
110,3,188.3563,990.60754
111,1,552.3269,850.7359
111,3,183.4515,987.1854
112,1,552.1513,844.751
112,3,185.41324,989.52527
113,1,556.0659,839.98914
113,3,188.7319,974.7503
114,1,558.9564,837.5168
114,3,191.88565,1005.9297
115,1,557.7533,839.71783
115,3,184.2732,972.5416
116,1,555.82434,839.16113
116,3,180.46425,972.4803
117,1,553.77,836.565
117,3,178.97978,1009.90137
118,1,552.8327,835.0491
118,3,178.01147,969.09216
119,1,555.46204,832.7838
119,3,183.67331,966.73376
120,1,558.82715,830.1906
120,3,198.78195,999.17993
121,1,559.2246,830.52704
121,3,196.92151,997.7129
122,1,560.7331,831.3345
122,3,200.10117,966.20917
123,1,565.3762,834.9795
123,3,213.02849,967.5348
124,1,568.40576,835.37134
124,3,223.21109,968.8752
125,1,568.0346,837.8802
125,3,233.3529,1004.09534
126,1,565.4374,843.0006
126,3,238.59479,970.1078
127,1,566.00085,839.4803
127,3,244.43347,965.5529
128,1,568.51166,828.2259
128,3,250.76324,973.98145
129,1,569.58154,836.91907
130,1,568.33154,847.776
130,3,262.11026,988.01013
131,1,571.3247,854.0466
131,3,263.66565,993.7565
132,1,573.4147,852.38477
132,3,262.24387,1001.7606
133,1,569.9665,857.5797
133,3,257.89966,1001.6654
134,1,567.43475,860.81604
134,3,254.4144,1006.29126
135,1,557.3889,858.70984
135,3,246.42764,1005.5186
136,1,548.3318,854.3608
136,3,241.54327,1014.88367
137,1,540.3906,853.29736
137,3,237.35703,1017.81964
138,1,534.10547,853.7365
138,3,236.88773,999.33844
139,1,528.3606,860.7192
139,3,236.90863,999.8585
140,1,524.78217,848.06213
140,3,239.69806,1001.1466
141,1,520.4537,859.5196
141,3,240.91083,1002.7322
142,1,520.9342,863.8385
142,3,242.8529,1005.8298
143,1,523.6637,865.89874
143,3,243.12128,1009.8095
144,1,524.1866,870.07275
144,3,243.9967,1018.53735
145,1,523.9391,872.817
145,3,243.35126,1015.499
146,1,522.2157,869.9803
146,3,242.36484,1021.8122
147,1,523.48846,869.1066
147,3,241.29895,1023.9148
148,1,520.1296,868.2646
148,3,237.48798,1026.3807
149,1,516.7794,867.2822
149,3,236.32086,1028.1792
150,1,514.87085,867.8037
150,3,234.64291,1038.1755
151,1,512.41833,880.4125
151,3,231.20174,1045.6125
152,1,509.07947,885.3193
152,3,230.06952,1043.0836
153,1,506.48425,889.0884
153,3,228.45712,1051.934
154,1,505.4953,892.1627
154,3,224.94188,1054.338
155,1,503.08167,885.36346
155,3,226.30856,1048.5785
156,1,500.25482,882.9774
156,3,227.32214,1042.3497
157,1,499.24817,879.3164
157,3,230.46848,1039.7628
158,1,491.31714,867.70514
158,3,231.95459,1042.6338
159,1,493.85217,876.9883
159,3,232.11514,1041.7769
160,1,497.0066,865.4262
160,3,230.68066,1040.1926
161,1,491.83386,874.6183
161,3,232.55173,1039.5815
162,1,488.9779,875.9581
162,3,231.6325,1037.4141
163,1,488.65106,865.58887
163,3,224.54333,1038.5005
164,1,488.53943,885.2523
164,3,225.87238,1042.3318
165,1,493.09644,882.8257
165,3,224.83804,1041.071
166,1,495.12738,879.2483
166,3,227.02826,1042.6351
167,1,494.38574,885.17944
167,3,229.91156,1037.7805
168,1,501.90375,885.3434
168,3,232.62787,1032.4261
169,1,505.52417,868.8874
169,3,233.40723,1033.6501
170,1,503.22424,875.4085
170,3,238.2283,1030.6757
171,1,503.88892,875.44507
171,3,238.21417,1028.3352
172,1,506.4756,873.5691
172,3,242.52585,1025.4437
173,1,505.69543,872.7249
173,3,245.35431,1020.9126
174,1,508.26917,870.8629
174,3,253.64352,1022.28
175,1,512.4015,867.3089
175,3,257.60995,1020.21875
176,1,513.2657,867.5432
176,3,261.7389,1015.99243
177,1,516.0209,863.30615
177,3,262.7574,1014.0856
178,1,517.1826,857.0552
178,3,263.11365,1010.65784
179,1,533.4453,854.02203
179,3,264.20288,1010.2865
180,1,520.28253,841.9646
180,3,263.3097,1008.1512
181,1,517.4026,834.2755
181,3,259.86087,1002.2434
182,1,517.4928,829.9326
182,3,260.81537,999.16656
183,1,521.9048,837.8532
183,3,261.45782,997.964
184,1,526.0744,847.7893
184,3,261.54553,993.3183
185,1,527.195,850.4624
185,3,264.11728,989.8165
186,1,528.63367,845.5502
186,3,265.47327,988.0112
187,1,531.1166,843.4457
187,3,270.65277,987.0419
188,1,541.02954,844.23267
188,3,273.58755,984.09485
188,9,560.3741,747.2827
189,1,532.4361,842.42065
189,3,277.59598,988.15765
189,9,556.5804,749.5729
190,1,529.7157,839.28467
190,3,280.09534,986.9409
191,1,530.0074,845.36694
191,3,283.09106,986.42773
192,1,527.2036,829.152
192,3,286.80945,987.84
193,1,535.9045,849.4245
193,3,291.62207,984.66736
194,1,529.57544,844.17163
194,3,292.36694,989.27246
195,1,531.4378,849.7464
195,3,293.00864,989.0676
196,1,527.9227,843.0535
196,3,291.0876,989.7727
197,1,524.9566,859.93335
197,3,288.57736,993.7187
198,1,523.70325,864.8063
198,3,287.45233,1004.827
198,9,550.9479,767.24524
199,1,523.66,829.79724
199,3,283.8147,1007.9767
200,1,525.96106,827.1997
200,3,278.98227,1010.20624
200,9,536.367,776.791
201,1,529.2842,875.6864
201,3,277.34647,1012.629
201,9,557.70123,768.5249
202,1,529.9772,876.744
202,3,269.83197,1018.5605
202,9,557.352,776.5769
203,1,522.0181,873.4417
203,3,261.4978,1012.8191
204,1,516.27185,880.7936
204,3,256.14313,1016.58545
204,9,537.98157,786.31384
205,1,512.79736,877.29486
205,3,253.4065,1021.2208
205,9,528.33215,791.3666
206,1,505.12054,886.4841
206,3,257.34384,1025.2721
207,1,514.6964,884.0488
207,3,253.90656,1029.7144
208,1,511.72766,882.6587
208,3,251.17624,1030.4248
209,1,503.47388,887.8558
209,3,252.36798,1030.7653
210,1,506.66144,892.4788
210,3,255.22543,1029.5254
211,1,504.127,891.7544
211,3,255.41571,1028.1934
212,1,504.23108,890.36725
212,3,258.43832,1026.6691
213,1,503.9041,887.8833
213,3,262.82886,1029.5779
214,1,506.16644,884.66833
214,3,268.42673,1030.8372
215,1,505.1515,884.2804
215,3,271.3639,1039.345
215,9,523.98206,788.83386
216,1,499.46252,879.29126
216,3,277.14178,1024.7102
216,9,516.3059,785.15247
217,3,277.0423,1027.9695
217,9,516.1571,796.1455
218,1,498.59875,881.4009
218,3,278.72708,1029.4321
218,9,510.98523,830.25464
